Drug name,Analyte,Specimen,Population,Pregnancy stage,Pediatric/Gestational age,Subject N,Parameter type,Parameter unit,Parameter statistic,Parameter value,Variation type,Variation value,Interval type,Lower bound,Upper bound,P value,Time value,Time unit
Daidzein,Daidzein,Blood,Infants,N/A,N/A,6,Saliva & Blood,Correlation (Kendall’s tau-b),N/A,0.20,N/A,N/A,Range,6,6,N/A,N/A,N/A
Daidzein,Daidzein,Blood,Infants,N/A,N/A,6,Urine & Blood,Correlation (Kendall’s tau-b),N/A,−0.20,N/A,N/A,Range,6,6,N/A,N/A,N/A
Daidzein,Daidzein,Saliva,Infants,N/A,N/A,62,Urine & Saliva,Correlation (Kendall’s tau-b),N/A,0.00,N/A,N/A,Range,62,62,N/A,N/A,N/A
Daidzein,Daidzein,Urine,Infants,N/A,N/A,119,Urine & Saliva,Correlation (Kendall’s tau-b),N/A,0.07,N/A,N/A,Range,N/A,119,N/A,N/A,N/A
Daidzein,Daidzein,Urine,Infants,N/A,N/A,17,Saliva & Blood,Correlation (Kendall’s tau-b),Mean,0.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daidzein,Daidzein,Urine,Infants,N/A,N/A,21,Urine & Blood,Correlation (Kendall’s tau-b),Mean,-0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daidzein,Daidzein,Urine,Infants,N/A,N/A,23,Saliva & Blood,Correlation (Kendall’s tau-b),N/A,0.27,N/A,N/A,Range,N/A,23,N/A,N/A,N/A
Daidzein,Daidzein,Urine,Infants,N/A,N/A,27,Urine & Blood,Correlation (Kendall’s tau-b),N/A,-0.02,N/A,N/A,Range,N/A,27,N/A,N/A,N/A
Daidzein,Daidzein,Urine,Infants,N/A,N/A,57,Urine & Saliva,Correlation (Kendall’s tau-b),Mean,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Genistein,Genistein,Blood,Infants,N/A,N/A,21,Urine & Blood,Correlation (Kendall’s tau-b),Mean,0.37,N/A,N/A,N/A,N/A,N/A,<0.05,N/A,N/A
Genistein,Genistein,Blood,Infants,N/A,N/A,6,Urine & Blood,Correlation (Kendall’s tau-b),Mean,0.20,N/A,N/A,Range,6,N/A,N/A,N/A,N/A
Genistein,Genistein,Saliva,Infants,N/A,N/A,57,Urine & Saliva,Correlation (Kendall’s tau-b),Mean,0.25,N/A,N/A,N/A,N/A,N/A,<0.05,N/A,N/A
Genistein,Genistein,Saliva,Infants,N/A,N/A,62,Urine & Saliva,Correlation (Kendall’s tau-b),Mean,0.05,N/A,N/A,Range,62,N/A,N/A,N/A,N/A
Genistein,Genistein,Urine,Infants,N/A,N/A,119,Urine & Saliva,Correlation (Kendall’s tau-b),Mean,0.15,N/A,N/A,N/A,N/A,N/A,<0.05,N/A,N/A
Genistein,Genistein,Urine,Infants,N/A,N/A,17,Saliva & Blood,Correlation (Kendall’s tau-b),Mean,0.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Genistein,Genistein,Urine,Infants,N/A,N/A,23,Saliva & Blood,Correlation (Kendall’s tau-b),Mean,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Genistein,Genistein,Urine,Infants,N/A,N/A,27,Urine & Blood,Correlation (Kendall’s tau-b),Mean,0.33,N/A,N/A,N/A,N/A,N/A,<0.05,N/A,N/A
Genistein,Genistein,Urine,Infants,N/A,N/A,6,Saliva & Blood,Correlation (Kendall’s tau-b),Mean,0.07,N/A,N/A,Range,6,N/A,N/A,N/A,N/A
Isoflavones,Daidzein,Saliva,Infants,N/A,0-12 mo,119,Daidzein,ng/ml,Geometric Mean,5.2,Geometric SD,5.8,N/A,N/A,N/A,N/A,N/A,N/A
Isoflavones,Daidzein,Saliva,Infants,N/A,0-12 mo,120,Daidzein,ng/ml,Geometric Mean,0.4,Geometric SD,1.4,N/A,N/A,N/A,N/A,N/A,N/A
Isoflavones,Daidzein,Saliva,Infants,N/A,0-12 mo,120,Daidzein,ng/ml,Geometric Mean,0.4,Geometric SD,1.5,N/A,N/A,N/A,N/A,N/A,N/A
Isoflavones,Daidzein,Urine,Infants,N/A,2 mo,8,Daidzein,ng/ml,Mean,25399,SD,8081,N/A,N/A,N/A,N/A,N/A,N/A
Isoflavones,Daidzein,Urine,Infants,N/A,0-12 mo,125,Daidzein,ng/ml,Geometric Mean,5097,Geometric SD,2.5,N/A,N/A,N/A,N/A,N/A,N/A
Isoflavones,Daidzein,Urine,Infants,N/A,0-12 mo,128,Daidzein,ng/ml,Geometric Mean,8.2,Geometric SD,5.0,N/A,N/A,N/A,N/A,N/A,N/A
